section,description,case_study
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,State vs Harish Iyer: The accused was indicted under Section 302 for the murder of Gopal in Delhi. Eyewitness testimonies and the recovery of the hammer at the instance of the accused established guilt beyond reasonable doubt.
498A,Husband or relative of husband of a woman subjecting her to cruelty. Physical and mental harassment for dowry demands.,"On 5th November 2023, the complainant filed an FIR at the women's police station in Bengaluru against Karan Johar (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 50,000 demanded by the in-laws."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"In Kanpur, the police arrested Amit Singh for running an online job scam. The accused cheated over fifty youngsters of Rs. 50,000 each, promising them government jobs and issuing fake appointment letters on 12th January 2025."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"The complainant alleged that the accused Rajesh Kumar running a bogus real estate firm in Surat promised to deliver a 2BHK flat. The complainant paid Rs. 75,000 on 12th January 2025, after which the accused locked the office and fled."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"The accused Rahul Verma forged ownership documents of a commercial land plot in Bengaluru and sold it to Seema for Rs. 250,000. The fraud was discovered when the victim applied for a building permit."
420,Corporate scam and misrepresentation. The suspect cheated investors of millions by showing forged balance sheets.,"In Bhopal, the police arrested Rohan Das for running an online job scam. The accused cheated over fifty youngsters of Rs. 150,000 each, promising them government jobs and issuing fake appointment letters on 4th July 2024."
420,Financial fraud and cheating under Section 420. Deception practiced to obtain monetary benefit fraudulently.,"The accused Vijay Yadav forged ownership documents of a commercial land plot in Kolkata and sold it to Mohan for Rs. 150,000. The fraud was discovered when the victim applied for a building permit."
376,"Accusation of sexual assault under Section 376 where consent was obtained through coercion, threat, or false promise of marriage.",The victim filed a First Information Report (FIR) in Kanpur stating that the accused Rajesh Kumar committed rape under the false promise of marriage. The accused later refused to marry her and threatened her with dire consequences.
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"The complainant alleged that the accused Deepak Gupta running a bogus real estate firm in Jaipur promised to deliver a 2BHK flat. The complainant paid Rs. 50,000 on 23rd March 2024, after which the accused locked the office and fled."
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.","A patrolling squad in Pune intercepted five individuals, including Vikram Rathore, on 15th August 2024. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
498A,"Harassment, abuse, and mental torture inflicted upon the wife by her in-laws, leading to police complaint.","The complainant Radha filed a complaint in Chandigarh alleging that her husband Vijay Yadav and mother-in-law subjected her to severe cruelty since their marriage on 30th December 2024. They repeatedly demanded Rs. 150,000 as additional dowry."
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.",The accused Suresh Sharma fired two rounds from a dagger at Alok in Delhi due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,The High Court upheld the life sentence of Manoj Bajpayee for committing murder under Section 302. The victim Meena was brutally beaten to death in Patna over an ancestral family feud on 18th May 2025.
498A,"Harassment, abuse, and mental torture inflicted upon the wife by her in-laws, leading to police complaint.","On 15th August 2024, the complainant filed an FIR at the women's police station in Indore against Deepak Gupta (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 150,000 demanded by the in-laws."
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,"A patrolling squad in Kolkata intercepted five individuals, including Manoj Bajpayee, on 18th May 2025. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,State vs Ramesh Sen: The accused was indicted under Section 302 for the murder of Komal in Obour. Eyewitness testimonies and the recovery of the dagger at the instance of the accused established guilt beyond reasonable doubt.
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.","During a political rally in Kolkata on 10th October 2023, Rohan Das tried to strangulate Seema with a wire. Bystanders intervened and rescued the victim, who was unconscious. A case under Section 307 was registered against the assailant."
376,"Accusation of sexual assault under Section 376 where consent was obtained through coercion, threat, or false promise of marriage.",The victim filed a First Information Report (FIR) in Surat stating that the accused Rajesh Kumar committed rape under the false promise of marriage. The accused later refused to marry her and threatened her with dire consequences.
498A,"Harassment, abuse, and mental torture inflicted upon the wife by her in-laws, leading to police complaint.","The complainant Anita filed a complaint in Kolkata alleging that her husband Vijay Yadav and mother-in-law subjected her to severe cruelty since their marriage on 5th November 2023. They repeatedly demanded Rs. 800,000 as additional dowry."
420,Financial fraud and cheating under Section 420. Deception practiced to obtain monetary benefit fraudulently.,"The accused Vikram Rathore misrepresented himself as a registered financial broker and collected Rs. 75,000 from the victim Geeta in Lucknow. He generated fake investment certificates and siphoned the entire capital."
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,State vs Umesh Chandra: The accused was indicted under Section 302 for the murder of Sameer in Lucknow. Eyewitness testimonies and the recovery of the axe at the instance of the accused established guilt beyond reasonable doubt.
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.",The accused Aakash Roy fired two rounds from a revolver at Meena in Thane due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
307,"Attempt to commit murder. The accused performed an act with such intention and under such circumstances that if death occurred, it would be murder.","The accused Sanjay Dutt mixed pesticide in the tea served to Meena in Patna. The victim sensed the strange odor and spat it out, but still suffered minor poisoning. Charged with attempt to murder under Section 307."
376,Offense of rape defined under Section 375 and punishable under Section 376. Non-consensual sexual act.,A case under Section 376 was registered against Sanjay Dutt in Kanpur. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,A case under Section 376 was registered against Aakash Roy in Patna. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
498A,"Harassment, abuse, and mental torture inflicted upon the wife by her in-laws, leading to police complaint.","The victim Kiran of Chandigarh committed suicide after continuous harassment by her husband Rahul Verma and his relatives. The police found diary entries detailing constant taunts and physical abuse, prompting charges under Section 498A."
401,Punishment for belonging to a gang of thieves. The accused was found associated with a group of persons associated for the purpose of habitually committing theft.,"On 4th July 2024, the police raided a hideout in Kolkata and arrested four gang members, including Anil Mehta. Stolen jewelry worth Rs. 150,000 was recovered. The gang had been habitually committing house thefts in the region."
302,Criminal prosecution for murder under IPC Section 302. Conviction entails rigorous life imprisonment and monetary fine.,State vs Rohan Das: The accused was indicted under Section 302 for the murder of Geeta in Indore. Eyewitness testimonies and the recovery of the axe at the instance of the accused established guilt beyond reasonable doubt.
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"The accused Harish Iyer misrepresented himself as a registered financial broker and collected Rs. 50,000 from the victim Alok in Surat. He generated fake investment certificates and siphoned the entire capital."
401,Punishment for belonging to a gang of thieves. The accused was found associated with a group of persons associated for the purpose of habitually committing theft.,"A patrolling squad in Amritsar intercepted five individuals, including Deepak Gupta, on 10th October 2023. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
498A,Cruelty by husband and relatives. Complainant was locked in a room and denied food for failing to bring dowry.,"On 30th December 2024, the complainant filed an FIR at the women's police station in Jaipur against Rahul Verma (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 250,000 demanded by the in-laws."
401,Apprehension of active gang members committing habitual housebreaking and theft.,"On 15th August 2024, the police raided a hideout in Chandigarh and arrested four gang members, including Arjun Kapoor. Stolen jewelry worth Rs. 800,000 was recovered. The gang had been habitually committing house thefts in the region."
307,"Attempt to commit murder. The accused performed an act with such intention and under such circumstances that if death occurred, it would be murder.","The accused Rahul Verma mixed pesticide in the tea served to Abhishek in Kolkata. The victim sensed the strange odor and spat it out, but still suffered minor poisoning. Charged with attempt to murder under Section 307."
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.","During a political rally in Kanpur on 4th July 2024, Manish Paul tried to strangulate Raj with a wire. Bystanders intervened and rescued the victim, who was unconscious. A case under Section 307 was registered against the assailant."
300,Commission of homicide where the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death.,"The accused Sanjay Dutt suspected his business partner Mohan of embezzlement. On 12th January 2025, Sanjay Dutt lured Mohan to an abandoned warehouse in Delhi and strangled him to death. The body was later disposed of in a nearby canal."
498A,Cruelty by husband and relatives. Complainant was locked in a room and denied food for failing to bring dowry.,"The complainant Vijay filed a complaint in Ahmedabad alleging that her husband Vikram Rathore and mother-in-law subjected her to severe cruelty since their marriage on 15th August 2024. They repeatedly demanded Rs. 800,000 as additional dowry."
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.","The accused Deepak Gupta mixed pesticide in the tea served to Maya in Ahmedabad. The victim sensed the strange odor and spat it out, but still suffered minor poisoning. Charged with attempt to murder under Section 307."
300,Intentionally causing bodily injury leading to the death of the victim. The assailant struck the victim repeatedly on vital organs.,"The accused Pankaj Tripathi suspected his business partner Anita of embezzlement. On 5th November 2023, Pankaj Tripathi lured Anita to an abandoned warehouse in Mumbai and strangled him to death. The body was later disposed of in a nearby canal."
307,"Attempt to commit murder. The accused performed an act with such intention and under such circumstances that if death occurred, it would be murder.","On 4th July 2024, the accused Harish Iyer intercepted the victim Radha in Patna and stabbed him in the abdomen with a dagger. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","The accused Sunil Dutt suspected his business partner Komal of embezzlement. On 23rd March 2024, Sunil Dutt lured Komal to an abandoned warehouse in Amritsar and strangled him to death. The body was later disposed of in a nearby canal."
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.","The accused Manoj Bajpayee mixed pesticide in the tea served to Radha in Amritsar. The victim sensed the strange odor and spat it out, but still suffered minor poisoning. Charged with attempt to murder under Section 307."
401,Apprehension of active gang members committing habitual housebreaking and theft.,A gang of habitual car thieves was apprehended in Obour. The accused Rahul Verma was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
401,Apprehension of active gang members committing habitual housebreaking and theft.,"On 10th October 2023, the police raided a hideout in Chandigarh and arrested four gang members, including Umesh Chandra. Stolen jewelry worth Rs. 150,000 was recovered. The gang had been habitually committing house thefts in the region."
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,State vs Harish Iyer: The accused was indicted under Section 302 for the murder of Radha in Lucknow. Eyewitness testimonies and the recovery of the sickle at the instance of the accused established guilt beyond reasonable doubt.
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.","On 10th October 2023, the accused Arjun Kapoor intercepted the victim Harish in Bengaluru and stabbed him in the abdomen with a sickle. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"The accused Aakash Roy misrepresented himself as a registered financial broker and collected Rs. 5,000,000 from the victim Anita in Kanpur. He generated fake investment certificates and siphoned the entire capital."
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"The accused Vijay Yadav forged ownership documents of a commercial land plot in Hyderabad and sold it to Gopal for Rs. 800,000. The fraud was discovered when the victim applied for a building permit."
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,"A charge sheet was filed under Section 302 against Harish Iyer for the premeditated killing of Alok in Chandigarh. The accused had used a iron rod to inflict ten deep wounds, ensuring the death of the victim."
498A,Cruelty by husband and relatives. Complainant was locked in a room and denied food for failing to bring dowry.,"The complainant Vivek filed a complaint in Nagpur alleging that her husband Manish Paul and mother-in-law subjected her to severe cruelty since their marriage on 5th November 2023. They repeatedly demanded Rs. 1,000,000 as additional dowry."
307,"Attempt to commit murder. The accused performed an act with such intention and under such circumstances that if death occurred, it would be murder.","The accused Rohan Das mixed pesticide in the tea served to Pooja in Thane. The victim sensed the strange odor and spat it out, but still suffered minor poisoning. Charged with attempt to murder under Section 307."
302,Criminal prosecution for murder under IPC Section 302. Conviction entails rigorous life imprisonment and monetary fine.,"A charge sheet was filed under Section 302 against Vikram Rathore for the premeditated killing of Meena in Pune. The accused had used a wooden stick to inflict ten deep wounds, ensuring the death of the victim."
420,Corporate scam and misrepresentation. The suspect cheated investors of millions by showing forged balance sheets.,"In Patna, the police arrested Manoj Bajpayee for running an online job scam. The accused cheated over fifty youngsters of Rs. 75,000 each, promising them government jobs and issuing fake appointment letters on 18th May 2025."
420,Corporate scam and misrepresentation. The suspect cheated investors of millions by showing forged balance sheets.,"The complainant alleged that the accused Karan Johar running a bogus real estate firm in Jaipur promised to deliver a 2BHK flat. The complainant paid Rs. 5,000,000 on 15th August 2024, after which the accused locked the office and fled."
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,The High Court upheld the life sentence of Deepak Gupta for committing murder under Section 302. The victim Maya was brutally beaten to death in Bengaluru over an ancestral family feud on 18th May 2025.
401,Conspiracy to commit theft by a professional gang. Accused were caught patrolling residential areas with intention to steal.,"On 18th May 2025, the police raided a hideout in Indore and arrested four gang members, including Manish Paul. Stolen jewelry worth Rs. 800,000 was recovered. The gang had been habitually committing house thefts in the region."
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.","On 29th September 2024, the police raided a hideout in Kolkata and arrested four gang members, including Aakash Roy. Stolen jewelry worth Rs. 2,000,000 was recovered. The gang had been habitually committing house thefts in the region."
498A,Husband or relative of husband of a woman subjecting her to cruelty. Physical and mental harassment for dowry demands.,"On 29th September 2024, the complainant filed an FIR at the women's police station in Kanpur against Anil Mehta (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 75,000 demanded by the in-laws."
498A,Cruelty by husband and relatives. Complainant was locked in a room and denied food for failing to bring dowry.,"The victim Kiran of Chandigarh committed suicide after continuous harassment by her husband Harish Iyer and his relatives. The police found diary entries detailing constant taunts and physical abuse, prompting charges under Section 498A."
401,Punishment for belonging to a gang of thieves. The accused was found associated with a group of persons associated for the purpose of habitually committing theft.,"A patrolling squad in Obour intercepted five individuals, including Rahul Verma, on 4th July 2024. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,The trial court convicted Anil Mehta under Section 376 for the gang rape/rape of the survivor in Ahmedabad. The survivor testified that the accused abducted her on 23rd March 2024 and committed the heinous offense in a moving vehicle.
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.",A gang of habitual car thieves was apprehended in Delhi. The accused Suresh Sharma was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
401,Apprehension of active gang members committing habitual housebreaking and theft.,"On 23rd March 2024, the police raided a hideout in Pune and arrested four gang members, including Suresh Sharma. Stolen jewelry worth Rs. 2,000,000 was recovered. The gang had been habitually committing house thefts in the region."
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,"A charge sheet was filed under Section 302 against Rajesh Kumar for the premeditated killing of Harish in Obour. The accused had used a dagger to inflict ten deep wounds, ensuring the death of the victim."
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,"In Obour, the accused Ramesh Sen entered the victim Mohan's residence when she was alone on 29th September 2024 and subjected her to sexual assault. The medical examination confirmed signs of physical struggle and non-consensual intercourse."
307,Assault with intent to kill. The victim survived the brutal assault due to timely medical intervention.,"The accused Karan Johar mixed pesticide in the tea served to Geeta in Vadodara. The victim sensed the strange odor and spat it out, but still suffered minor poisoning. Charged with attempt to murder under Section 307."
420,Financial fraud and cheating under Section 420. Deception practiced to obtain monetary benefit fraudulently.,"The accused Arjun Kapoor misrepresented himself as a registered financial broker and collected Rs. 1,200,000 from the victim Raj in Nagpur. He generated fake investment certificates and siphoned the entire capital."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,"The complainant Geeta filed a complaint in Chandigarh alleging that her husband Rahul Verma and mother-in-law subjected her to severe cruelty since their marriage on 29th September 2024. They repeatedly demanded Rs. 150,000 as additional dowry."
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,"In Hyderabad, the accused Deepak Gupta entered the victim Sameer's residence when she was alone on 18th May 2025 and subjected her to sexual assault. The medical examination confirmed signs of physical struggle and non-consensual intercourse."
498A,Husband or relative of husband of a woman subjecting her to cruelty. Physical and mental harassment for dowry demands.,"The victim Alok of Pune committed suicide after continuous harassment by her husband Anil Mehta and his relatives. The police found diary entries detailing constant taunts and physical abuse, prompting charges under Section 498A."
401,Punishment for belonging to a gang of thieves. The accused was found associated with a group of persons associated for the purpose of habitually committing theft.,"The police busted an active criminal gang in Hyderabad that specialized in highway thefts. The accused Aakash Roy and his accomplices were arrested, and stolen laptops, mobile phones, and cash were seized. Charged under Section 401."
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"In Chandigarh, the police arrested Sanjay Dutt for running an online job scam. The accused cheated over fifty youngsters of Rs. 150,000 each, promising them government jobs and issuing fake appointment letters on 29th September 2024."
420,Financial fraud and cheating under Section 420. Deception practiced to obtain monetary benefit fraudulently.,"The accused Suresh Sharma misrepresented himself as a registered financial broker and collected Rs. 75,000 from the victim Harish in Mumbai. He generated fake investment certificates and siphoned the entire capital."
300,Culpable homicide amounting to murder. The accused with intent to cause death attacked the victim with a dangerous weapon.,"The accused Sunil Dutt suspected his business partner Abhishek of embezzlement. On 10th October 2023, Sunil Dutt lured Abhishek to an abandoned warehouse in Nagpur and strangled him to death. The body was later disposed of in a nearby canal."
300,Intentionally causing bodily injury leading to the death of the victim. The assailant struck the victim repeatedly on vital organs.,"A land dispute between Suresh Sharma and Abhishek in Vadodara turned violent. Suresh Sharma loaded a iron rod and shot Abhishek from close range, causing fatal injury to the chest. Forensic reports confirmed that the shot was fired with direct intention to cause death."
420,Corporate scam and misrepresentation. The suspect cheated investors of millions by showing forged balance sheets.,"The accused Pankaj Tripathi misrepresented himself as a registered financial broker and collected Rs. 250,000 from the victim Mohan in Nagpur. He generated fake investment certificates and siphoned the entire capital."
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,"A charge sheet was filed under Section 302 against Rahul Verma for the premeditated killing of Divya in Lucknow. The accused had used a sharp knife to inflict ten deep wounds, ensuring the death of the victim."
300,Intentionally causing bodily injury leading to the death of the victim. The assailant struck the victim repeatedly on vital organs.,"On the night of 18th May 2025, the accused Vikram Rathore engaged in a heated argument with the victim Sandeep over a property boundary in Vadodara. The accused subsequently went inside, fetched a dagger, and inflicted multiple blows on the victim's head, causing instant death."
302,Criminal prosecution for murder under IPC Section 302. Conviction entails rigorous life imprisonment and monetary fine.,State vs Rohan Das: The accused was indicted under Section 302 for the murder of Seema in Patna. Eyewitness testimonies and the recovery of the sharp knife at the instance of the accused established guilt beyond reasonable doubt.
420,Cheating and dishonestly inducing delivery of property. The accused deceived the complainant and dishonestly induced them to deliver cash or property.,"In Thane, the police arrested Pankaj Tripathi for running an online job scam. The accused cheated over fifty youngsters of Rs. 800,000 each, promising them government jobs and issuing fake appointment letters on 29th September 2024."
300,Commission of homicide where the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death.,"In the jurisdiction of Obour, the prosecution proved that Arjun Kapoor deliberately poisoned the meal of Radha with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 23rd March 2024 at the local hospital."
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,"The Sessions Court of Kanpur found the accused Rajesh Kumar guilty of murder under Section 302. On 10th October 2023, the accused had murdered his neighbor Vijay with a sharp knife in broad daylight. The court sentenced the convict to life imprisonment."
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,"The Sessions Court of Patna found the accused Harish Iyer guilty of murder under Section 302. On 10th October 2023, the accused had murdered his neighbor Anita with a revolver in broad daylight. The court sentenced the convict to life imprisonment."
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.",A gang of habitual car thieves was apprehended in Obour. The accused Suresh Sharma was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,"The Sessions Court of Lucknow found the accused Ramesh Sen guilty of murder under Section 302. On 29th September 2024, the accused had murdered his neighbor Mohan with a sickle in broad daylight. The court sentenced the convict to life imprisonment."
300,Commission of homicide where the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death.,"On the night of 5th November 2023, the accused Arjun Kapoor engaged in a heated argument with the victim Raj over a property boundary in Chandigarh. The accused subsequently went inside, fetched a pistol, and inflicted multiple blows on the victim's head, causing instant death."
376,Prosecution for rape under Section 376. The victim's testimony was corroborated by medical evidence and forensic DNA reports.,The trial court convicted Anil Mehta under Section 376 for the gang rape/rape of the survivor in Bengaluru. The survivor testified that the accused abducted her on 10th October 2023 and committed the heinous offense in a moving vehicle.
300,Intentionally causing bodily injury leading to the death of the victim. The assailant struck the victim repeatedly on vital organs.,"A land dispute between Rajesh Kumar and Komal in Indore turned violent. Rajesh Kumar loaded a sharp knife and shot Komal from close range, causing fatal injury to the chest. Forensic reports confirmed that the shot was fired with direct intention to cause death."
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,"A charge sheet was filed under Section 302 against Aakash Roy for the premeditated killing of Gopal in Jaipur. The accused had used a wooden stick to inflict ten deep wounds, ensuring the death of the victim."
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,The High Court upheld the life sentence of Manish Paul for committing murder under Section 302. The victim Mohan was brutally beaten to death in Vadodara over an ancestral family feud on 10th October 2023.
300,Culpable homicide amounting to murder. The accused with intent to cause death attacked the victim with a dangerous weapon.,"The accused Karan Johar suspected his business partner Vijay of embezzlement. On 10th October 2023, Karan Johar lured Vijay to an abandoned warehouse in Jaipur and strangled him to death. The body was later disposed of in a nearby canal."
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.",A gang of habitual car thieves was apprehended in Kolkata. The accused Manish Paul was found to be the mastermind who dismantled stolen cars and sold spare parts. The prosecution pressed charges under Section 401.
498A,Husband or relative of husband of a woman subjecting her to cruelty. Physical and mental harassment for dowry demands.,A case under Section 498A was registered against Rahul Verma in Thane. The victim alleged that she was physically assaulted and mentally harassed by her husband and sister-in-law for not bringing a luxury sedan in dowry.
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","In the jurisdiction of Jaipur, the prosecution proved that Manish Paul deliberately poisoned the meal of Abhishek with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 23rd March 2024 at the local hospital."
302,Criminal prosecution for murder under IPC Section 302. Conviction entails rigorous life imprisonment and monetary fine.,"The Sessions Court of Kolkata found the accused Anil Mehta guilty of murder under Section 302. On 29th September 2024, the accused had murdered his neighbor Komal with a wooden stick in broad daylight. The court sentenced the convict to life imprisonment."
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,A case under Section 376 was registered against Rohan Das in Indore. The victim alleged that she was drugged at a party and sexually assaulted while unconscious. The police recovered CCTV footage verifying the presence of the accused.
401,Apprehension of active gang members committing habitual housebreaking and theft.,"A patrolling squad in Obour intercepted five individuals, including Manish Paul, on 12th January 2025. The suspects were carrying housebreaking tools, iron rods, and masks. Investigation revealed they belonged to a notorious gang of thieves operating under Section 401."
498A,Domestic violence and cruelty under Section 498A. Demands for cash and vehicles by husband and in-laws.,A case under Section 498A was registered against Anil Mehta in Kolkata. The victim alleged that she was physically assaulted and mentally harassed by her husband and sister-in-law for not bringing a luxury sedan in dowry.
498A,Husband or relative of husband of a woman subjecting her to cruelty. Physical and mental harassment for dowry demands.,"The complainant Raj filed a complaint in Bengaluru alleging that her husband Suresh Sharma and mother-in-law subjected her to severe cruelty since their marriage on 29th September 2024. They repeatedly demanded Rs. 1,000,000 as additional dowry."
300,Culpable homicide amounting to murder. The accused with intent to cause death attacked the victim with a dangerous weapon.,"The accused Amit Singh suspected his business partner Radha of embezzlement. On 12th January 2025, Amit Singh lured Radha to an abandoned warehouse in Indore and strangled him to death. The body was later disposed of in a nearby canal."
376,"Accusation of sexual assault under Section 376 where consent was obtained through coercion, threat, or false promise of marriage.","In Jaipur, the accused Arjun Kapoor entered the victim Raj's residence when she was alone on 4th July 2024 and subjected her to sexual assault. The medical examination confirmed signs of physical struggle and non-consensual intercourse."
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,State vs Vijay Yadav: The accused was indicted under Section 302 for the murder of Sandeep in Surat. Eyewitness testimonies and the recovery of the axe at the instance of the accused established guilt beyond reasonable doubt.
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","The accused Karan Johar suspected his business partner Anita of embezzlement. On 30th December 2024, Karan Johar lured Anita to an abandoned warehouse in Vadodara and strangled him to death. The body was later disposed of in a nearby canal."
498A,Husband or relative of husband of a woman subjecting her to cruelty. Physical and mental harassment for dowry demands.,"On 30th December 2024, the complainant filed an FIR at the women's police station in Kanpur against Arjun Kapoor (husband). She stated that she was kicked out of the house at midnight because her family could not pay Rs. 300,000 demanded by the in-laws."
307,"Violent attack with a lethal weapon with clear intent to end the victim's life, resulting in hospitalization.","During a political rally in Amritsar on 12th January 2025, Vikram Rathore tried to strangulate Harish with a wire. Bystanders intervened and rescued the victim, who was unconscious. A case under Section 307 was registered against the assailant."
498A,Cruelty by husband and relatives. Complainant was locked in a room and denied food for failing to bring dowry.,"The complainant Alok filed a complaint in Chandigarh alleging that her husband Aakash Roy and mother-in-law subjected her to severe cruelty since their marriage on 15th August 2024. They repeatedly demanded Rs. 250,000 as additional dowry."
300,Intentionally causing bodily injury leading to the death of the victim. The assailant struck the victim repeatedly on vital organs.,"In the jurisdiction of Hyderabad, the prosecution proved that Rohan Das deliberately poisoned the meal of Vivek with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 10th October 2023 at the local hospital."
307,Assault with intent to kill. The victim survived the brutal assault due to timely medical intervention.,The accused Deepak Gupta fired two rounds from a dagger at Kiran in Bhopal due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.","The police busted an active criminal gang in Surat that specialized in highway thefts. The accused Pankaj Tripathi and his accomplices were arrested, and stolen laptops, mobile phones, and cash were seized. Charged under Section 401."
376,Punishment for sexual assault and rape. The accused committed sexual intercourse with the victim without consent or against her will.,The victim filed a First Information Report (FIR) in Mumbai stating that the accused Amit Singh committed rape under the false promise of marriage. The accused later refused to marry her and threatened her with dire consequences.
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","In the jurisdiction of Patna, the prosecution proved that Karan Johar deliberately poisoned the meal of Komal with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 12th January 2025 at the local hospital."
